







root:	 win_komis:1557328	 total_komis:3394546	 total_plays:69559
Node:0 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 2	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 3	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 4	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 5	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 6	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 7	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 8	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 9	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 10	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:0 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 2	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 3	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 4	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 5	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 6	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 7	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 8	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 9	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 10	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:1 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:2 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:2 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:2 2	win_komis:8972	 total_komis:17448	 total_plays:386	 pattern_win:0
Node:2 3	win_komis:402	 total_komis:1330	 total_plays:32	 pattern_win:0
Node:2 4	win_komis:2733	 total_komis:5661	 total_plays:116	 pattern_win:0
Node:2 5	win_komis:4153	 total_komis:8677	 total_plays:182	 pattern_win:0
Node:2 6	win_komis:4169	 total_komis:8543	 total_plays:163	 pattern_win:0
Node:2 7	win_komis:4255	 total_komis:8545	 total_plays:161	 pattern_win:0
Node:2 8	win_komis:30365	 total_komis:56235	 total_plays:1116	 pattern_win:0
Node:2 9	win_komis:213094	 total_komis:386274	 total_plays:7963	 pattern_win:0
Node:2 10	win_komis:8146	 total_komis:15838	 total_plays:317	 pattern_win:0
Node:2 11	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:2 12	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:3 0	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:3 1	win_komis:0	 total_komis:0	 total_plays:0	 pattern_win:0
Node:3 2	win_komis:3722	 total_komis:7508	 total_plays:164	 pattern_win:0
Node:3 4	win_komis:7741	 total_komis:14839	 total_plays:317	 pattern_win:0
Node:3 5	win_komis:461	 total_komis:1501	 total_plays:33	 pattern_win:0
Node:3 6	win_komis:2047	 total_komis:4559	 total_plays:94	 pattern_win:0
Node:3 7	win_komis:445109	 total_komis:804949	 total_plays:16401	 pattern_win:0
Node:3 8	win_komis:1825	 total_komis:4055	 total_plays:72	 pattern_win:0
Node:3 9	win_komis:17513	 total_komis:32803	 total_plays:673	 pattern_win:0
